MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,Bedroom,Kitchen,TotRmsAbvGrd,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,ScreenPorch,PoolArea,MoSold,YrSold,SalePrice
20,78,10206,8,5,2007,2007,33,0,1530,1563,1563,0,1563,0,0,2,0,3,1,6,2007,3,758,144,0,0,10,2008,245000
20,80,8892,5,5,1960,1960,0,0,1065,1065,1065,0,1065,0,0,1,1,3,1,6,1974,2,461,74,0,0,7,2007,126500
80,NA,8530,7,5,1995,1996,0,0,384,384,804,670,1474,0,0,2,1,3,1,7,1995,2,400,120,0,0,5,2009,168500
60,121,16059,8,5,1991,1992,0,0,1288,1288,1301,1116,2417,0,0,2,1,4,1,9,1991,2,462,127,0,0,4,2006,260000
60,122,11911,6,5,2005,2005,0,0,684,684,684,876,1560,0,0,2,1,3,1,6,2005,2,400,100,0,0,3,2009,174000
160,40,3951,6,5,2009,2009,0,0,612,612,612,612,1224,0,0,2,1,2,1,4,2009,2,528,0,0,0,6,2009,164500
50,105,8470,3,2,1915,1982,0,0,1013,1013,1013,0,1526,0,0,1,0,2,1,6,NA,0,0,0,0,0,10,2009,85000
20,60,8070,4,5,1994,1995,588,0,402,990,990,0,990,1,0,1,0,3,1,5,NA,0,0,0,0,0,8,2007,123600
20,60,7200,4,5,1950,1950,0,0,0,0,1040,0,1040,0,0,1,0,2,1,4,1950,2,420,0,0,0,7,2006,109900
20,85,8500,5,3,1961,1961,600,0,635,1235,1235,0,1235,0,0,1,0,2,1,6,1961,2,480,0,0,0,12,2006,98600
30,80,13360,5,7,1921,2006,713,0,163,876,964,0,964,1,0,1,0,2,1,5,1921,2,432,0,0,0,8,2009,163500
190,60,7200,6,6,1910,1998,1046,0,168,1214,1260,1031,2291,0,1,2,0,4,2,9,1900,2,506,0,99,0,11,2007,133900
60,69,9337,6,5,1997,1997,648,0,176,824,905,881,1786,1,0,2,1,3,1,7,1997,2,684,0,0,0,5,2007,204750
60,NA,9765,6,8,1993,1993,310,0,370,680,680,790,1470,0,0,2,1,3,1,6,1993,2,420,232,0,0,4,2009,185000
20,78,10264,7,5,1999,1999,1162,0,426,1588,1588,0,1588,0,0,2,0,3,1,6,1999,2,472,158,0,0,8,2006,214000
20,73,10921,4,5,1965,1965,520,0,440,960,960,0,960,1,0,1,0,3,1,6,1965,1,432,120,0,0,5,2007,94750
30,85,10625,5,5,1920,1950,108,0,350,458,835,0,835,0,0,1,0,2,1,5,1920,1,366,0,0,0,5,2010,83000
20,77,9320,4,5,1959,1959,569,0,381,950,1225,0,1225,1,0,1,1,3,1,6,NA,0,0,352,0,0,1,2010,128950
20,NA,10603,6,7,1977,2001,1200,0,410,1610,1610,0,1610,1,0,2,0,3,1,6,1977,2,480,168,0,0,2,2010,205000
60,77,9206,6,5,1985,1985,0,0,741,741,977,755,1732,0,0,2,1,3,1,7,1985,2,476,192,0,0,6,2010,178000
90,64,7018,5,5,1979,1979,0,0,0,0,1535,0,1535,0,0,2,0,4,2,8,1979,2,410,0,0,0,6,2009,118964
20,94,10402,7,5,2009,2009,0,0,1226,1226,1226,0,1226,0,0,2,0,3,1,6,2009,3,740,0,0,0,5,2010,198900
50,NA,7758,7,4,1931,1950,224,0,816,1040,1226,592,1818,0,0,1,1,4,1,7,1951,1,240,0,184,0,6,2007,169500
60,75,9375,8,5,2003,2004,0,0,1053,1053,1053,939,1992,0,0,2,1,3,1,9,2003,2,648,140,0,0,8,2008,250000
30,60,10800,4,7,1885,1995,0,0,641,641,1047,0,1047,0,0,1,0,2,1,6,1954,1,273,0,0,0,8,2007,100000
20,50,6000,5,5,1948,1950,104,169,516,789,789,0,789,0,0,1,0,2,1,5,1948,1,250,0,0,0,4,2008,115000
50,85,8500,5,7,1919,2005,0,0,793,793,997,520,1517,0,0,2,0,3,1,7,NA,0,0,0,0,0,8,2007,115000
20,105,11751,6,6,1977,1977,705,0,1139,1844,1844,0,1844,0,0,2,0,3,1,7,1977,2,546,0,0,0,1,2010,190000
50,75,9525,6,4,1954,1972,444,0,550,994,1216,639,1855,0,0,2,0,4,1,7,1954,1,325,182,0,0,10,2006,136900
80,NA,7750,7,5,2000,2000,250,0,134,384,774,656,1430,0,0,2,1,3,1,7,2000,2,400,180,0,0,4,2010,180000
60,77,9965,7,5,2007,2007,984,0,280,1264,1282,1414,2696,1,0,2,1,4,1,10,2007,3,792,120,168,0,10,2007,383970
20,NA,21000,6,5,1953,1953,35,869,905,1809,2259,0,2259,1,0,2,0,3,1,7,1953,2,450,166,0,0,10,2007,217000
70,61,7259,6,8,1945,2002,774,150,104,1028,1436,884,2320,1,0,2,1,3,1,9,1945,1,180,224,0,0,7,2007,259500
160,34,3230,6,5,1999,1999,419,0,310,729,729,729,1458,0,0,2,1,2,1,5,1999,2,440,0,0,0,6,2007,176000
20,NA,11616,5,5,1962,1962,170,670,252,1092,1092,0,1092,0,1,1,0,3,1,6,1962,1,288,0,0,0,9,2009,139000
20,74,8536,5,5,2006,2007,0,0,1125,1125,1125,0,1125,0,0,1,1,2,1,5,2007,2,430,80,0,0,4,2007,155000
60,90,12376,7,5,1990,1990,1470,0,203,1673,1699,1523,3222,1,0,3,0,5,1,11,1990,3,594,367,0,0,5,2010,320000
60,65,8461,6,5,2005,2006,0,0,728,728,728,728,1456,0,0,2,1,3,1,8,2005,2,390,0,0,0,7,2006,163990
80,NA,21453,6,5,1969,1969,938,0,0,938,988,0,988,1,0,1,0,1,1,4,1969,2,540,0,0,0,10,2006,180000
50,50,6060,4,5,1939,1950,0,0,732,732,772,351,1123,0,0,1,0,3,1,4,1979,1,264,0,0,0,6,2007,100000
20,75,9464,6,7,1958,1958,570,0,510,1080,1080,0,1080,0,0,1,0,3,1,5,1958,1,288,0,130,0,6,2008,136000
120,55,7892,6,5,1993,1993,300,0,899,1199,1199,0,1199,0,0,2,0,2,1,5,1993,2,530,0,0,0,3,2008,153900
20,48,17043,6,5,1979,1998,0,0,1362,1362,1586,0,1586,0,0,2,0,3,1,7,1979,2,435,192,0,0,1,2009,181000
190,60,6780,6,8,1935,1982,490,0,30,520,520,0,754,1,0,1,0,2,1,5,NA,0,0,53,0,0,6,2006,84500
120,NA,4928,6,5,1976,1976,120,0,958,1078,958,0,958,0,0,2,0,2,1,5,1977,2,440,0,0,0,2,2007,128000
45,55,4388,5,7,1930,1950,116,0,556,672,840,0,840,0,0,1,0,3,1,5,NA,0,0,0,0,0,6,2007,87000
60,69,7590,6,5,1966,1966,512,0,148,660,660,688,1348,0,0,1,1,3,1,6,1966,2,453,188,0,0,7,2006,155000
20,69,8973,5,7,1958,1991,567,28,413,1008,1053,0,1053,0,1,1,1,3,1,6,1998,2,750,0,0,0,7,2006,150000
60,88,14200,7,6,1966,1966,445,0,479,924,1216,941,2157,0,0,2,1,4,1,8,1966,2,487,105,0,0,5,2006,226000
60,NA,12224,6,5,2000,2000,695,0,297,992,1022,1032,2054,1,0,2,1,3,1,7,2000,2,390,24,0,0,7,2009,244000
20,75,7388,5,6,1959,2002,405,0,658,1063,1327,0,1327,1,0,1,0,3,1,7,1974,2,624,0,0,0,7,2007,150750
20,NA,6853,8,5,2001,2002,1005,0,262,1267,1296,0,1296,1,0,2,0,2,1,6,2001,2,471,192,0,0,6,2009,220000
20,78,10335,5,6,1968,1993,570,0,891,1461,1721,0,1721,0,0,2,1,3,1,7,1968,2,440,0,0,0,7,2006,180000
20,80,10400,7,6,1970,1970,0,0,1304,1304,1682,0,1682,0,0,2,0,3,1,7,1970,2,530,98,0,0,5,2008,174000
20,NA,10355,5,5,1967,1967,695,0,519,1214,1214,0,1214,0,0,2,0,3,1,5,1967,1,318,0,0,0,7,2007,143000
90,82,11070,7,5,1988,1989,0,0,1907,1907,1959,0,1959,0,0,3,0,5,2,9,1989,3,766,0,0,0,7,2006,171000
60,73,9066,8,5,1999,2000,668,0,336,1004,1004,848,1852,0,0,2,1,3,1,7,1999,3,660,224,0,0,12,2008,230000
60,65,15426,6,5,1997,1997,821,0,107,928,928,836,1764,1,0,2,1,3,1,7,1997,2,470,276,0,0,8,2009,231500
20,70,10500,4,5,1971,1971,432,0,432,864,864,0,864,0,0,1,0,3,1,5,NA,0,0,0,0,0,4,2010,115000
20,78,11645,7,5,2005,2005,1300,0,434,1734,1734,0,1734,1,0,2,0,3,1,7,2005,2,660,160,0,0,1,2006,260000
50,71,8520,5,4,1952,1952,507,0,403,910,910,475,1385,0,0,2,0,4,1,6,2000,2,720,0,0,0,6,2010,166000
20,78,10335,7,5,1999,1999,679,0,811,1490,1501,0,1501,1,0,2,0,3,1,6,1999,2,577,144,0,0,6,2009,204000
90,70,9100,5,5,1963,1963,1332,0,396,1728,1728,0,1728,1,0,2,0,6,2,10,1963,2,504,0,0,0,11,2006,125000
160,24,2522,6,5,2004,2006,0,0,970,970,970,739,1709,0,0,2,0,3,1,7,2004,2,380,0,0,0,4,2006,130000
30,51,6120,5,7,1931,1993,209,0,506,715,875,0,875,1,0,1,0,2,1,5,1931,1,180,48,0,0,11,2009,105000
60,NA,9505,7,5,2001,2001,0,0,884,884,884,1151,2035,0,0,2,1,3,1,8,2001,2,434,144,0,0,5,2010,222500
20,63,7500,7,5,2004,2005,680,0,400,1080,1080,0,1080,1,0,1,0,3,1,6,NA,0,0,0,0,0,4,2008,141000
50,NA,6240,5,4,1936,1950,0,0,896,896,896,448,1344,0,0,1,0,3,1,7,1936,1,240,200,0,0,4,2006,115000
20,120,10356,5,6,1975,1975,716,0,253,969,969,0,969,0,0,1,1,3,1,5,1975,2,440,0,0,0,1,2007,122000
20,107,13891,8,5,2007,2008,1400,0,310,1710,1710,0,1710,1,0,2,0,2,1,6,2007,3,866,0,0,0,1,2008,372402
60,NA,14803,6,5,1971,1971,416,0,409,825,1097,896,1993,0,0,2,1,4,1,8,1971,2,495,0,0,0,6,2006,190000
20,NA,13500,6,7,1960,1975,429,1080,93,1602,1252,0,1252,1,0,1,0,1,1,4,1960,2,564,409,0,0,3,2008,235000
30,84,11340,6,5,1923,1950,0,0,1200,1200,1200,0,1200,0,0,1,0,4,1,7,1923,1,312,0,0,0,3,2006,125000
50,60,9600,6,5,1924,1950,0,0,572,572,572,524,1096,0,0,1,0,2,1,5,NA,0,0,0,0,0,4,2008,79000
20,60,7200,5,7,1950,1950,0,0,0,0,1040,0,1040,0,0,1,0,2,1,5,1950,2,625,0,0,0,6,2006,109500
60,92,12003,8,5,2009,2010,0,0,774,774,774,1194,1968,0,0,2,1,4,1,8,2009,3,680,0,0,0,5,2010,269500
60,100,12552,7,5,2004,2005,222,0,769,991,991,956,1947,0,0,2,1,3,1,8,2004,2,678,0,0,0,5,2010,254900
60,134,19378,7,5,2005,2006,57,0,1335,1392,1392,1070,2462,1,0,2,1,4,1,9,2006,2,576,239,0,0,3,2006,320000
20,NA,11120,6,6,1984,1984,660,0,572,1232,1232,0,1232,0,0,2,0,3,1,6,1984,2,516,0,0,0,6,2008,162500
60,110,13688,9,5,2003,2004,1016,0,556,1572,1572,1096,2668,1,0,2,1,3,1,10,2003,3,726,400,0,0,3,2008,412500
20,95,12182,7,5,2005,2005,1201,0,340,1541,1541,0,1541,0,0,2,0,3,1,7,2005,2,532,0,0,0,5,2010,220000
45,55,5500,4,6,1956,1956,0,0,882,882,882,0,882,0,0,1,0,1,1,4,NA,0,0,0,0,0,4,2007,103200
40,40,5400,6,7,1926,2004,370,0,779,1149,1149,467,1616,0,0,2,0,3,1,5,1926,1,216,0,0,0,10,2007,152000
190,62,10106,5,7,1940,1999,351,181,112,644,808,547,1355,1,0,2,0,4,2,6,NA,0,0,140,0,0,9,2008,127500
20,NA,10708,5,5,1955,1993,379,768,470,1617,1867,0,1867,1,0,1,0,2,1,7,1955,1,303,476,142,0,11,2009,190000
60,86,10562,8,5,2007,2007,1288,0,294,1582,1610,551,2161,1,0,1,1,3,1,8,2007,3,789,178,0,0,11,2007,325624
60,62,8244,7,5,2004,2004,0,0,840,840,840,880,1720,0,0,2,1,3,1,7,2004,2,440,100,0,0,5,2007,183500
20,NA,16669,8,6,1981,1981,0,0,1686,1686,1707,0,1707,0,0,2,1,2,1,6,1981,2,511,574,0,0,1,2006,228000
50,NA,12358,5,6,1941,1950,360,0,360,720,854,0,1382,0,0,1,1,2,1,7,1991,2,660,237,0,0,5,2007,128500
20,141,31770,6,5,1960,1960,639,0,441,1080,1656,0,1656,1,0,1,0,3,1,7,1960,2,528,210,0,0,5,2010,215000
160,44,5306,7,7,1987,1987,495,215,354,1064,1064,703,1767,1,0,2,0,2,1,5,1987,2,504,441,0,0,6,2006,239000
20,80,10197,6,5,1961,1961,288,374,700,1362,1362,0,1362,1,0,1,1,3,1,6,1961,2,504,0,0,0,6,2008,163000
20,47,12416,6,5,1986,1986,1398,208,0,1606,1651,0,1651,1,0,2,0,3,1,7,1986,2,616,192,0,0,11,2008,184000
20,84,12615,6,7,1950,2001,477,0,725,1202,2158,0,2158,1,0,2,0,4,1,7,1950,2,576,0,0,0,6,2007,243000
60,97,10029,6,5,1988,1989,831,0,320,1151,1164,896,2060,0,1,2,1,4,1,8,1988,2,521,0,192,0,9,2007,211000
50,NA,13650,5,5,1958,1958,57,441,554,1052,1252,668,1920,1,0,2,0,4,1,8,1958,2,451,0,0,0,7,2006,172500
20,63,17423,9,5,2008,2009,1904,0,312,2216,2234,0,2234,1,0,2,0,1,1,9,2009,3,1166,0,0,0,7,2009,501837
30,60,8520,5,6,1923,2006,0,0,968,968,968,0,968,0,0,1,0,2,1,5,1935,2,480,0,0,0,7,2007,100000
160,NA,2117,6,5,2000,2000,436,0,320,756,769,756,1525,0,0,2,1,3,1,5,2000,2,440,0,0,0,6,2007,177000
70,54,7588,7,6,1920,1950,352,0,441,793,901,901,1802,0,0,1,1,4,1,9,1920,1,216,0,0,0,7,2006,200100
20,60,9060,5,6,1957,2006,0,0,0,0,1340,0,1340,0,0,1,0,3,1,7,1957,1,252,116,0,0,6,2007,120000
50,63,11426,7,5,2003,2003,0,0,1362,1362,1362,720,2082,0,0,2,1,3,1,6,2003,2,484,280,0,0,6,2008,200000
50,92,7438,5,8,1908,1991,0,0,504,504,936,316,1252,0,0,1,0,3,1,5,1986,2,576,104,0,0,6,2006,127000
75,90,22950,10,9,1892,1993,0,0,1107,1107,1518,1518,3608,0,0,2,1,4,1,12,1993,3,840,0,410,0,6,2006,475000
80,NA,9947,7,5,1990,1991,611,0,577,1188,1217,0,1217,1,0,2,0,3,1,6,1990,2,497,168,0,0,6,2009,173000
50,60,10410,5,7,1916,1987,0,0,660,660,808,704,1656,0,0,2,1,3,1,8,1916,1,180,0,0,0,8,2009,135000
90,64,7018,5,5,1979,1979,1086,0,0,1086,1224,0,1224,2,0,0,2,2,2,6,1979,2,528,120,0,0,6,2009,153337
120,41,4923,8,5,2001,2002,1153,0,440,1593,1593,0,1593,1,0,1,1,0,1,5,2001,2,682,0,224,0,8,2008,286000
70,70,10570,8,8,1932,1994,297,0,556,853,1549,1178,2727,0,0,2,1,3,1,10,1932,2,440,0,0,0,12,2007,315000
60,NA,7472,7,9,1972,2004,626,0,99,725,725,754,1479,1,0,1,1,4,1,7,1972,2,484,0,0,0,6,2007,184000
20,68,9017,7,5,1999,1999,560,0,871,1431,1431,0,1431,1,0,2,0,3,1,6,1999,2,666,0,0,0,9,2009,192000
160,24,2522,7,5,2004,2004,0,0,970,970,970,739,1709,0,0,2,0,3,1,7,2004,2,380,0,0,0,5,2006,130000
20,60,7180,5,7,1972,1972,390,0,474,864,864,0,864,0,0,1,0,3,1,5,1989,1,352,0,0,0,5,2008,127000
160,24,2280,6,6,1976,1976,566,0,289,855,855,601,1456,0,0,2,1,3,1,7,1976,2,440,87,0,0,7,2009,148500
20,79,9416,7,5,2007,2007,1126,0,600,1726,1726,0,1726,1,0,2,0,3,1,8,2007,3,786,171,266,0,9,2007,311872
